Number,nces_school_id,school_name,nces_district_id,district_name,date,month,day,year,school_year,year2,time,day_of_week,city,state,school_type,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,shooter_relationship1,weapon,weapon_source,county,state_fips,county_fips
238,10243001035,Robert E. Lee High School,102430,Montgomery County,3/16/2017,3,16,2017,2016-2017,2017,3:00 pm,Thursday,Montgomery,Alabama,public,0,1,1,targeted,16,m,student,.40-caliber handgun,,Montgomery County,1,1101
192,63417005375,North Park Elementary School,634170,San Bernardino City Unified,04/10/2017,4,10,2017,2016-2017,2017,10:30 am,Monday,San Bernardino,California,public,2,1,3,targeted,53,m,husband of teacher,Smith & Wesson .357 Magnum revolver,,San Bernardino County,6,6071
193,2.20033E+11,Moss Bluff Elementary School,2200330,Calcasieu Parish,5/15/2017,5,15,2017,2016-2017,2017,7:50 am,Monday,Lake Charles,Louisiana,public,0,1,1,accidental,7,m,student,.380 caliber semi-automatic handgun,"father's gun, kept by 17 year old who shared room with shooter",Calcasieu Parish,22,22019
194,10171002162,Greensboro High School,101710,Hale County,5/24/2017,5,24,2017,2016-2017,2017,11:30 am,Wednesday,Greensboro,Alabama,public,0,0,0,targeted,,m,student,.22 caliber revolver,,Hale County,1,1065
195,1.70993E+11,Warren Elementary School,1709930,City of Chicago SD 299,6/16/2017,6,16,2017,2016-2017,2017,1:51 pm,Friday,Chicago,Illinois,public,0,2,2,targeted,,m,,,,Cook County,17,17031
196,3.90438E+11,Columbus Scioto 6-12,3904380,Columbus City School District,09/08/2017,9,8,2017,2017-2018,2017,8:33 am,Friday,Columbus,Ohio,public,0,0,0,indiscriminate,18,m,,.38-caliber handgun,,Franklin County,39,39049
197,5.30297E+11,Freeman High School,5302970,Freeman School District,9/13/2017,9,13,2017,2017-2018,2017,10:00 am,Wednesday,Rockford,Washington,public,1,3,4,indiscriminate,15,m,student,"AR-15, pistol",father,Spokane County,53,53063
198,1.72505E+11,Mattoon High School,1725050,Mattoon CUSD 2,9/20/2017,9,20,2017,2017-2018,2017,11:30 am,Wednesday,Mattoon,Illinois,public,0,1,1,targeted,14,m,student,.40-caliber Ruger semiautomatic pistol,stepfather,Coles County,17,17029
199,2.62115E+11,Pattengill Academy,2621150,Lansing Public School District,11/03/2017,11,3,2017,2017-2018,2017,4:30 pm,Friday,Lansing,Michigan,public,0,1,1,accidental,21,m,,handgun,puchased legally by shooter from Dicker & Deal,Ingham County,26,26065
200,1.30228E+11,Benjamin Banneker High School,1302280,Fulton County,11/09/2017,11,9,2017,2017-2018,2017,3:25 pm,Thursday,College Park,Georgia,public,0,2,2,accidental,,,,small-caliber handgun,,Fulton County,13,13121
201,60978004178,Rancho Tehama Elementary School,609780,Corning Union Elementary,11/14/2017,11,14,2017,2017-2018,2017,7:50 am,Tuesday,Corning,California,public,0,2,2,targeted and indiscriminate,44,m,had beef with family of student at school,handmade AR-15-type rifle,contructed from parts legally purchased by shooter,Tehama County,6,6103
202,3.50015E+11,Aztec High School,3500150,Aztec Municipal Schools,12/07/2017,12,7,2017,2017-2018,2017,8:04 am,Thursday,Aztec,New Mexico,public,2,0,2,indiscriminate,21,m,former student,9mm Glock,legally purchased by shooter,San Juan County,35,35045
203,3.70192E+11,High Point Central High School,3701920,Guilford County Schools,12/11/2017,12,11,2017,2017-2018,2017,2:08 pm,Monday,High Point,North Carolina,public,0,0,0,targeted,15,m,,handgun,,Guilford County,37,37081
205,2.20019E+11,The NET Charter High School,2200188,Rsd-educators For Quality Alternatives,1/22/2018,1,22,2018,2017-2018,2018,1:30 pm,Monday,New Orleans,Louisiana,public,0,0,0,targeted,,,,,,Orleans Parish,22,22071
204,4.82445E+11,Italy High School,4824450,Italy ISD,1/22/2018,1,22,2018,2017-2018,2018,7:53 am,Monday,Italy,Texas,public,0,1,1,targeted,16,m,student,semi-automatic .380 caliber handgun,,Ellis County,48,48139
206,2.10381E+11,Marshall County High School,2103810,Marshall County,1/23/2018,1,23,2018,2017-2018,2018,7:57 am,Tuesday,Benton,Kentucky,public,2,14,16,indiscriminate,15,m,student,handgun,stepfather's bedroom,Marshall County,21,21157
207,10237000942,Murphy High School,102370,Mobile County,1/25/2018,1,25,2018,2017-2018,2018,11:20 am,Thursday,Mobile,Alabama,public,0,0,0,targeted,16,m,student,revolver,stolen,Mobile County,1,1097
208,62271012483,Salvador B. Castro Middle School,622710,Los Angeles Unified,02/01/2018,2,1,2018,2017-2018,2018,9:00 am,Thursday,Los Angeles,California,public,0,5,5,accidental,12,f,student,semi-automatic handgun,,Los Angeles County,6,6037
209,1.20018E+11,Marjory Stoneman Douglas High School,1200180,Broward,2/14/2018,2,14,2018,2017-2018,2018,2:21 pm,Wednesday,Parkland,Florida,public,17,17,34,indiscriminate,19,m,former student (expelled),Smith & Wesson M&P15,legally purchased by shooter,Broward County,12,12011
210,1.30162E+11,Dalton High School,1301620,Dalton City,2/28/2018,2,28,2018,2017-2018,2018,11:30 am,Wednesday,Dalton,Georgia,public,0,0,0,indiscriminate,53,m,teacher,.38-caliber snub-nosed revolver,,Whitfield County,13,13313
211,10039000141,Huffman High School,100390,Birmingham City,03/07/2018,3,7,2018,2017-2018,2018,3:45 pm,Wednesday,Birmingham,Alabama,public,1,0,1,accidental,17,m,student,pistol,,Jefferson County,1,1073
212,62553003843,Seaside High School,625530,Monterey Peninsula Unified,3/13/2018,3,13,2018,2017-2018,2018,1:20 pm,Tuesday,Seaside,California,public,0,3,3,accidental,,m,teacher,Glock 21 .45-caliber handgun,department issued,Monterey County,6,6053
213,3.01854E+11,Big Sky High School,3018540,Missoula H S,3/16/2018,3,16,2018,2017-2018,2018,12:45 pm,Friday,Missoula,Montana,public,0,0,0,targeted,,m,resource officer,pistol,department issued,Missoula County,30,30063
214,5.103E+11,Douglass Park Elementary School,5103000,Portsmouth City Pblc Schs,3/19/2018,3,19,2018,2017-2018,2018,4:23 pm,Monday,Portsmouth,Virginia,public,0,1,1,unclear,,,,,,Portsmouth City,51,51740
215,2.4006E+11,Great Mills High School,2400600,St. Mary's County Public Schools,3/20/2018,3,20,2018,2017-2018,2018,7:55 am,Tuesday,Great Mills,Maryland,public,1,1,2,targeted,17,m,student,Glock semi-automatic handgun,father,St. Mary's County,24,24037
277,2.80456E+11,Eupora High School,2804560,Webster Co School Dist,3/28/2018,3,28,2018,2017-2018,2018,2:40 pm,Wednesday,Europa,Mississippi,public,0,0,0,indiscriminate,20,m,,9mm handgun,,Webster County,28,28155
278,2.61962E+11,Jackson High School,2619620,Jackson Public Schools,4/19/2018,4,19,2018,2017-2018,2018,1:44 pm,Thursday,Jackson,Michigan,public,0,0,0,unclear,,,,handgun,,Jackson County,26,26075
216,1.20126E+11,Forest High School,1201260,Marion,4/20/2018,4,20,2018,2017-2018,2018,8:39 am,Friday,Ocala,Florida,public,0,1,1,indiscriminate,19,m,former student,shotgun,,Marion County,12,12083
279,1.30012E+11,Benjamin Elijah Mays High School,1300120,Atlanta Public Schools,4/23/2018,4,23,2018,2017-2018,2018,1:00 pm,Monday,Atlanta,Georgia,public,0,0,0,targeted,19,m,,,,Fulton County,13,13121
305,3.50006E+11,Highland High School,3500060,Albuquerque Public Schools,4/25/2018,4,25,2018,2017-2018,2018,2:30 pm,Wednesday,Albuquerque,New Mexico,public,0,1,1,targeted,,m,father of student,handgun,owner's gun,Bernalillo County,35,35001
218,60282009515,Highland High School,602820,Antelope Valley Union High,05/11/2018,5,11,2018,2017-2018,2018,7:05 am,Friday,Palmdale,California,public,0,1,1,targeted,14,m,student,rifle,,Los Angeles County,6,6037
219,1.71233E+11,Dixon High School,1712330,Dixon USD 170,5/16/2018,5,16,2018,2017-2018,2018,8:00 am,Wednesday,Dixon,Illinois,public,0,0,0,targeted,19,m,student,rifle,mother,Lee County,17,17103
220,4.83927E+11,Santa Fe High School,4839270,Santa Fe ISD,5/18/2018,5,18,2018,2017-2018,2018,7:30 am,Friday,Santa Fe,Texas,public,10,13,23,indiscriminate,17,m,student,Remington 870 shotgun and a .38-caliber revolver,,Galveston County,48,48167
221,1.80765E+11,Noblesville West Middle School,1807650,Noblesville Schools,5/25/2018,5,25,2018,2017-2018,2018,9:06 am,Friday,Noblesville,Indiana,public,0,2,2,targeted,13,m,student,".22 caliber gun, .45 caliber gun",,Hamilton County,18,18057
222,3.70297E+11,Villa Heights Elementary School,3702970,Charlotte-Mecklenburg Schools,8/30/2018,8,30,2018,2018-2019,2018,7:30 am,Thursday,Charlotte,North Carolina,public,0,0,0,targeted,34,m,former boyfriend of student's mother,.45 caliber pistol,stolen,Mecklenburg County,37,37119
223,3.20006E+11,Canyon Springs High School,3200060,Clark County School District,09/11/2018,9,11,2018,2018-2019,2018,2:35 pm,Tuesday,North Las Vegas,Nevada,public,1,0,1,targeted,16,m,student,,,Clark County,32,32003
280,3.70297E+11,Lawrence Orr Elementary School,3702970,Charlotte-Mecklenburg Schools,9/24/2018,9,24,2018,2018-2019,2018,9:00 am,Monday,Charlotte,North Carolina,public,0,0,0,targeted,24,m,,,,Mecklenburg County,37,37119
224,20018000072,Denali Montessori Elementary School,200180,Anchorage School District,10/03/2018,10,3,2018,2018-2019,2018,10:00 am,Wednesday,Anchorage,Alaska,public,0,1,1,targeted,26,m,boyfriend of parent,Sig Sauer .40 caliber handgun,,Anchorage Municipality,2,2020
226,90045001161,Paul Laurence Dunbar School,900450,Bridgeport School District,10/22/2018,10,22,2018,2018-2019,2018,8:15 am,Monday,Bridgeport,Connecticut,public,0,0,0,targeted,18,m,,handgun,,Fairfield County,9,9001
227,3.70297E+11,Butler High School,3702970,Charlotte-Mecklenburg Schools,10/29/2018,10,29,2018,2018-2019,2018,7:00 am,Monday,Matthews,North Carolina,public,1,0,1,targeted,16,m,student,.380 pistol,stolen,Mecklenburg County,37,37119
228,5.103E+11,Simonsdale Elementary School,5103000,Portsmouth City Pblc Schs,11/20/2018,11,20,2018,2018-2019,2018,3:45 pm,Tuesday,Portsmouth,Virginia,public,0,1,1,accidental,29,m,parent of student,handgun,,Portsmouth City,51,51740
229,1.80951E+11,Dennis Intermediate School,1809510,Richmond Community Schools,12/13/2018,12,13,2018,2018-2019,2018,8:00 am,Thursday,Richmond,Indiana,public,0,0,0,indiscriminate,14,m,student,handgun and a rifle,,Wayne County,18,18177
230,4.10204E+11,Cascade Middle School,4102040,Bethel Sd 52,01/11/2019,1,11,2019,2018-2019,2019,10:30 am,Friday,Eugene,Oregon,public,0,0,0,targeted,30,m,father of student,handgun,,Lane County,41,41039
281,2.72124E+11,North High School,2721240,Minneapolis Public School District,1/16/2019,1,16,2019,2018-2019,2019,12:30 pm,Wednesday,Minneapolis,Minnesota,public,0,0,0,unclear,,,,,,Hennepin County,27,27053
231,2.40009E+11,Frederick Douglass High School,2400090,Baltimore City Public Schools,02/08/2019,2,8,2019,2018-2019,2019,12:00 pm,Friday,Baltimore,Maryland,public,0,1,1,targeted,25,m,brother of student,Smith and Wesson .40 caliber gun,,Baltimore City,24,24510
232,3.50001E+11,V. Sue Cleveland High School,3500010,Rio Rancho Public Schools,2/14/2019,2,14,2019,2018-2019,2019,7:15 am,Thursday,Rio Rancho,New Mexico,public,0,0,0,targeted and indiscriminate,16,m,student,.45 caliber handgun,,Sandoval County,35,35043
234,10243001035,Robert E. Lee High School,102430,Montgomery County,2/26/2019,2,26,2019,2018-2019,2019,11:00 am,Tuesday,Montgomery,Alabama,public,0,1,1,targeted,16,m,student,.40-caliber handgun,stolen from neighbor,Montgomery County,1,1101
233,2.01164E+11,Highlands Elementary School,2011640,Shawnee Mission Pub Sch,03/01/2019,3,1,2019,2018-2019,2019,1:30 pm,Friday,Mission,Kansas,public,0,0,0,indiscriminate,26,m,neighbor of school,handgun,,Johnson County,20,20091
235,10042000205,Blountsville Elementary School,100420,Blount County,3/22/2019,3,22,2019,2018-2019,2019,12:30 pm,Friday,Blountsville,Alabama,public,0,1,1,accidental,72,m,substitute teacher,Taurus .380 pistol,legally purchased by shooter,Blount County,1,1009
236,51182000899,Prescott High School,511820,Prescott School District,04/01/2019,4,1,2019,2018-2019,2019,9:14 am,Monday,Prescott,Arkansas,public,0,1,1,targeted,14,,student,handgun,,Nevada County,5,5099
282,63384005261,New Joseph Bonnheim Community Charter School,633840,Sacramento City Unified,04/03/2019,4,3,2019,2018-2019,2019,1:45 pm,Wednesday,Sacramento,California,public,0,0,0,unclear,,,,,,Sacramento County,6,6067
237,1.20048E+11,Saint Clair Evans Academy,1200480,Duval,04/03/2019,4,3,2019,2018-2019,2019,11:00 am,Wednesday,Jacksonville,Florida,public,0,0,0,unclear,,,,,,Duval County,12,12031
283,2.60112E+11,Flex High School,2601117,Flex High School Of Michigan,4/17/2019,4,17,2019,2018-2019,2019,10:00 am,Wednesday,Flint,Michigan,public,0,0,0,targeted,16,,student,,,Genesee County,26,26049
239,80345006493,STEM School Highlands Ranch,803450,Douglas County School District NO. Re 1,05/07/2019,5,7,2019,2018-2019,2019,1:52 pm,Tuesday,Highlands Ranch,Colorado,public,1,8,9,indiscriminate,16,m,student,"Glock 21 .45-caliber semi-automatic pistol, Beretta M9 9mm semi-automatic pistol, Taurus Revolver and a Ruger 10/22 .22-caliber semi-automatic rifle",parent,Douglas County,8,8035
245,1.10003E+11,Hendley Elementary School,1100030,District Of Columbia Public Schools,06/12/2019,6,12,2019,2018-2019,2019,4:20 pm,Wednesday,Washington,District of Columbia,public,0,0,0,unclear,,,,,,District of Columbia,11,11001
244,10243002084,Blount Elementary School,102430,Montgomery County,08/08/2019,8,8,2019,2019-2020,2019,7:26 am,Thursday,Montgomery,Alabama,public,0,0,0,targeted,38,m,father of student,pistol,,Montgomery County,1,1101
242,62271003087,Hollenbeck Middle School,622710,Los Angeles Unified,8/27/2019,8,27,2019,2019-2020,2019,11:00 am,Tuesday,Los Angeles,California,public,0,1,1,unclear,,,,,,Los Angeles County,6,6037
241,4.50072E+11,South Aiken High School,4500720,Aiken 01,09/10/2019,9,10,2019,2019-2020,2019,,Tuesday,Aiken,South Carolina,public,0,0,0,unclear,,,,,,Aiken County,45,45003
240,1.10003E+11,Aiton Elementary School,1100030,District Of Columbia Public Schools,9/25/2019,9,25,2019,2019-2020,2019,,Wednesday,Washington,District of Columbia,public,0,0,0,targeted,,,,,,District of Columbia,11,11001
246,63583006130,Ridgway High School,635830,Santa Rosa High,10/22/2019,10,22,2019,2019-2020,2019,9:00 am,Tuesday,Santa Rosa,California,public,0,1,1,targeted,17,,student,,,Sonoma County,6,6097
247,2.40009E+11,Achievement Academy,2400090,Baltimore City Public Schools,11/11/2019,11,11,2019,2019-2020,2019,2:00 pm,Monday,Baltimore,Maryland,public,0,1,1,targeted,,,,,,Baltimore City,24,24510
248,64251006961,Saugus High School,642510,William S. Hart Union High,11/14/2019,11,14,2019,2019-2020,2019,7:38 am,Thursday,Saugus,California,public,2,3,5,indiscriminate,16,m,student,.45 caliber 1911 pistol,ghost gun,Los Angeles County,6,6037
249,5.51578E+11,Waukesha South High School,5515780,Waukesha School District,12/02/2019,12,2,2019,2019-2020,2019,9:00 am,Monday,Waukesha,Wisconsin,public,0,1,1,targeted,,m,resource officer,handgun,department issued,Waukesha County,55,55133
250,5.51119E+11,Oshkosh West High School,5511190,Oshkosh Area School District,12/03/2019,12,3,2019,2019-2020,2019,9:00 am,Tuesday,Oshkosh,Wisconsin,public,0,1,1,targeted,,m,resource officer,handgun,department issued,Winnebago County,55,55139
251,10117000429,Decatur High School,101170,Decatur City,12/10/2019,12,10,2019,2019-2020,2019,8:20 am,Tuesday,Decatur,Alabama,public,0,0,0,targeted,22,m,,,,Morgan County,1,1103
254,4.82364E+11,Bellaire High School,4823640,Houston ISD,1/14/2020,1,14,2020,2019-2020,2020,4:00 pm,Tuesday,Bellaire,Texas,public,1,0,1,accidental,16,m,student,.32 caliber semi-automatic pistol,,Harris County,48,48201
255,62922009598,McAuliffe Elementary School,629220,Oxnard,1/23/2020,1,23,2020,2019-2020,2020,11:30 am,Thursday,Oxnard,California,public,0,1,1,indiscriminate,,,,,,Ventura County,6,6111
256,4.90087E+11,West High School,4900870,Salt Lake District,2/13/2020,2,13,2020,2019-2020,2020,3:00 pm,Thursday,Salt Lake City,Utah,public,0,0,0,targeted,,,student,,,Salt Lake County,49,49035
257,60285000207,Antioch High School,602850,Antioch Unified,2/19/2020,2,19,2020,2019-2020,2020,9:30 am,Wednesday,Antioch,California,public,0,0,0,targeted,15,m,,,,Contra Costa County,6,6013
258,3.50012E+11,Cesar Chavez Community School,3500117,Cesar Chavez Community School,2/21/2020,2,21,2020,2019-2020,2020,11:00 am,Friday,Albuquerque,New Mexico,public,0,0,0,unclear,,,,,,Bernalillo County,35,35001
260,1.20048E+11,Ribault High School,1200480,Duval,10/09/2020,10,9,2020,2020-2021,2020,2:00 pm,Friday,Jacksonville,Florida,public,0,1,1,accidental,18,,,.380-caliber handgun,,Duval County,12,12031
261,3.70042E+11,Lincoln Elementary School,3700420,Brunswick County Schools,11/13/2020,11,13,2020,2020-2021,2020,2:00 pm,Friday,Leland,North Carolina,public,0,1,1,accidental,,,,,,Brunswick County,37,37019
262,3.7021E+11,Hendersonville Middle School,3702100,Henderson County Schools,11/24/2020,11,24,2020,2020-2021,2020,7:45 am,Tuesday,Hendersonville,North Carolina,public,0,1,1,accidental,12,m,,,,Handerson County,37,37089
263,51393001212,Watson Chapel Junior High,513930,Watson Chapel School District,03/01/2021,3,1,2021,2020-2021,2021,9:55 am,Monday,Pine Bluff,Arkansas,public,1,0,1,targeted,15,m,,handgun,,Jefferson County,5,5069
267,3.63033E+11,Wayne Central Middle School,3630330,Wayne Central School District,03/01/2021,3,1,2021,2020-2021,2021,9:40 am,Monday,Ontario,New York,public,0,1,1,targeted,19,m,employee,Smith and Wesson M&P .45 caliber handgun,SRO,Wayne County,36,36117
264,4.50156E+11,Edwards Elementary School,4501560,Chesterfield 01,03/08/2021,3,8,2021,2020-2021,2021,1:30 pm,Monday,Chesterfield,South Carolina,public,0,1,1,targeted,54,,,,,Chesterfield County,45,45025
266,10297001160,Selma High School,102970,Selma City Schools,04/01/2021,4,1,2021,2020-2021,2021,1:00 pm,Thursday,Selma,Alabama,public,0,0,0,targeted,15,m,,handgun,,Dallas County,1,1047
265,4.70222E+11,Austin-East Magnet High,4702220,Knox County,04/12/2021,4,12,2021,2020-2021,2021,3:15 pm,Monday,Knoxville,Tennessee,public,0,1,1,accidental,17,m,,Glock 45 handgun,,Knox County,47,47093
270,2.73178E+11,Ply_mouth Middle School,2731780,Robbinsdale Area Schools,4/26/2021,4,26,2021,2020-2021,2021,8:44 am,Monday,Ply_mouth,Minnesota,public,0,0,0,indiscriminate,12,m,,handgun,father's bedroom,Hennepin County,27,27053
271,1.00162E+11,Smyrna Middle School,1001620,Smyrna School District,4/27/2021,4,27,2021,2020-2021,2021,10:25 am,Tuesday,Smyrna,Delaware,public,1,0,1,targeted,47,m,,handgun,,Kent County,10,10001
272,3.60107E+11,Urban Dove Team Charter School,3601065,Urban Dove Team Charter School,4/29/2021,4,29,2021,2020-2021,2021,2:45 pm,Thursday,Brooklyn,New York,public,1,0,1,targeted,15,m,,,,Kings County,36,36047
273,1.80567E+11,Mary Evelyn Castle Elementary School,1805670,Metropolitan School District of Lawrence Township,4/30/2021,4,30,2021,2020-2021,2021,1:00 pm,Friday,Indianapolis,Indiana,public,0,1,1,targeted,32,m,,,,Marion County,18,18097
274,4.50237E+11,Ware Shoals High School,4502370,Greenwood 51,05/05/2021,5,5,2021,2020-2021,2021,8:00 am,Wednesday,Ware Shoals,South Carolina,public,0,0,0,public suicide,15,m,,handgun,mom's gun; kept in her car,Greenwood County,45,45047
275,1.60157E+11,Rigby Middle School,1601570,Jefferson County Joint District,05/06/2021,5,6,2021,2020-2021,2021,9:00 am,Thursday,Rigby,Idaho,public,0,3,3,indiscriminate,,f,student,handgun,,Jefferson County,16,16051
276,4.82364E+11,North Forest High School,4823640,Houston Isd,06/09/2021,6,9,2021,2020-2021,2021,10:30 am,Wednesday,Houston,Texas,public,0,1,1,targeted,,,,,,Harris County,48,48201
286,1.30174E+11,Lithonia High School,1301740,Dekalb County,08/12/2021,8,12,2021,2021-2022,2021,3:00 pm,Thursday,Lithonia,Georgia,public,0,1,1,targeted,,,resource officer,handgun,,Dekalb County,13,13089
287,3.50006E+11,Washington Middle School,3500060,Albuquerque Public Schools,8/13/2021,8,13,2021,2021-2022,2021,12:45 pm,Friday,Albuquerque,New Mexico,public,1,0,1,targeted,13,m,,handgun,,Bernalillo County,35,35001
288,4.50391E+11,Orangeburg-Wilkinson High School,4503910,Orangeburg,8/18/2021,8,18,2021,2021-2022,2021,4:00 pm,Wednesday,Orangeburg,South Carolina,public,0,3,3,targeted,14,m,,,,Orangeburg County,45,45075
289,3.70333E+11,New Hanover High School,3703330,New Hanover County Schools,8/30/2021,8,30,2021,2021-2022,2021,11:00 am,Monday,Wilmington,North Carolina,public,0,1,1,targeted,15,m,,,,New Hanover County,37,37129
290,3.7015E+11,Mount Tabor High School,3701500,Winston Salem / Forsyth County Schools,09/01/2021,9,1,2021,2021-2022,2021,12:00 pm,Wednesday,Winston-Salem,North Carolina,public,1,0,1,targeted,15,m,,,,Forsyth County,37,37067
291,4.70369E+11,LaVergne High School,4703690,Rutherford County,09/07/2021,9,7,2021,2021-2022,2021,3:30 pm,Tuesday,Lavergne,Tennessee,public,0,0,0,targeted,15,m,,,,Rutherford County,47,47149
292,2.61428E+11,Tri-County Education Center,2614280,Ferndale Public Schools,09/08/2021,9,8,2021,2021-2022,2021,2:30 pm,Wednesday,Ferndale,Michigan,public,0,0,0,targeted,,m,,,,Oakland County,26,26125
293,5.10264E+11,Heritage High School,5102640,Newport News City Pblc Schs,9/20/2021,9,20,2021,2021-2022,2021,11:39 am,Monday,Newport News,Virginia,public,0,2,2,targeted,15,m,,,,Newport News City,51,51700
294,2.80315E+11,Newton County Elementary School,2803150,Newton County School District,9/30/2021,9,30,2021,2021-2022,2021,1:45 pm,Thursday,Decatur,Mississippi,public,0,1,1,accidental,,m,student,handgun,boyfriend of child's mother,Newton County,28,28101
295,4.70015E+11,Cummings K-8 Optional School,4700148,Shelby County,9/30/2021,9,30,2021,2021-2022,2021,10:00 am,Thursday,Memphis,Tennessee,public,0,1,1,targeted,13,m,,,,Shelby County,47,47157
296,4.80021E+11,YES Prep Southwest Secondary,4800209,Yes Prep Public Schools Inc,10/01/2021,10,1,2021,2021-2022,2021,11:45 am,Friday,Houston,Texas,public,0,1,1,targeted,25,m,former student,,,Harris County,48,48201
297,4.82892E+11,Timberview High School,4828920,Mansfield Isd,10/06/2021,10,6,2021,2021-2022,2021,9:15 am,Wednesday,Arlington,Texas,public,0,4,4,targeted,18,m,student,handgun,,Tarrant County,48,48439
299,50900000607,Little Rock Central High School,509000,Little Rock School District,10/12/2021,10,12,2021,2021-2022,2021,11:27 am,Tuesday,Little Rock,Arkansas,public,0,0,0,unclear,,,,,,Pulaski County,5,5119
298,1.70993E+11,Wendell Phillips Academy High School,1709930,City Of Chicago Sd 299,10/12/2021,10,12,2021,2021-2022,2021,3:15 pm,Tuesday,Chicago,Illinois,public,0,2,2,indiscriminate,,,,,,Cook County,17,17031
300,1.70993E+11,James McDade Classical School,1709930,City Of Chicago Sd 299,10/13/2021,10,13,2021,2021-2022,2021,8:38 am,Wednesday,Chicago,Illinois,public,0,0,0,targeted,,,,,,Cook County,17,17031
306,3.62376E+11,Poughkeepsie High School,3623760,Poughkeepsie City School District,11/15/2021,11,15,2021,2021-2022,2021,3:15 pm,Monday,Poughkeepsie,New York,public,0,0,0,targeted,13,m,student,.38-caliber handgun,,Dutchess County,36,36027
307,3.60009E+11,P.S. 44,3600090,New York City Geographic District #12,11/16/2021,11,16,2021,2021-2022,2021,2:15 pm,Tuesday,Bronx,New York,public,0,0,0,unclear,45,m,,handgun,,Bronx County,36,36005
302,80234000064,Hinkley High School,802340,Aurora Joint District NO. 28 Of The Counties Of Adams And Arapahoe,11/19/2021,11,19,2021,2021-2022,2021,12:00 pm,Friday,Aurora,Colorado,public,0,3,3,targeted,16,,student,,,Arapahoe County,8,8005
308,1.73897E+11,Thornton Township High School,1738970,Thornton Twp Hsd 205,11/24/2021,11,24,2021,2021-2022,2021,3:00 pm,Wednesday,Harvey,Illinois,public,0,0,0,targeted,,,,,,Cook County,17,17031
303,40633001882,Cesar Chavez High School,406330,Phoenix Union High School District (4286),11/29/2021,11,29,2021,2021-2022,2021,3:00 pm,Monday,Laveen,Arizona,public,0,1,1,targeted,15,m,student,,,Maricopa County,4,4013
304,2.62724E+11,Oxford High School,2627240,Oxford Community Schools,11/30/2021,11,30,2021,2021-2022,2021,12:50 pm,Tuesday,Oxford,Michigan,public,4,7,11,indiscriminate,15,m,student,9mm handgun,parent,Oakland County,26,26125
309,4.83432E+11,Sam Rayburn High School,4834320,Pasadena Isd,12/01/2021,12,1,2021,2021-2022,2021,11:00 pm,Wednesday,Pasadena,Texas,public,0,0,0,targeted,21,m,,,,Harris County,48,48201
310,3.60109E+11,Great Oaks Charter School,3601085,Great Oaks Charter School,12/09/2021,12,9,2021,2021-2022,2021,9:30 am,Thursday,New York,New York,public,0,0,0,unclear,,,,,,New York County,36,36061
311,3.70405E+11,Jesse C. Carson High School,3704050,Rowan-salisbury Schools,12/09/2021,12,9,2021,2021-2022,2021,2:00 pm,Thursday,China Grove,North Carolina,public,0,0,0,accidental,,,,,,Rowan County,37,37159
312,3.70297E+11,West Charlotte High School,3702970,Charlotte-mecklenburg Schools,12/13/2021,12,13,2021,2021-2022,2021,2:15 pm,Monday,Charlotte,North Carolina,public,0,0,0,targeted,,,student,,,Mecklenburg County,37,37119
313,4.50336E+11,Eau Claire High School,4503360,Richland 01,12/16/2021,12,16,2021,2021-2022,2021,3:00 pm,Thursday,Columbia,South Carolina,public,0,0,0,targeted,15,m,student,,,Richland County,45,45079
314,1.73451E+11,Auburn High School,1734510,Rockford Sd 205,01/04/2022,1,4,2022,2021-2022,2022,1:10 pm,Tuesday,Rockford,Illinois,public,0,2,2,targeted,16,m,,9mm handgun,,Winnebago County,17,17201
315,1.20171E+11,Seminole High School,1201710,Seminole,1/19/2022,1,19,2022,2021-2022,2022,12:00 pm,Wednesday,Sanford,Florida,public,0,1,1,targeted,16,m,student,9mm handgun,,Seminole County,12,12117
317,4.21917E+11,Oliver Citywide Academy,4219170,Pittsburgh Sd,1/19/2022,1,19,2022,2021-2022,2022,1:45 pm,Wednesday,Pittsburgh,Pennsylvania,public,1,0,1,targeted,,,,,,Allegheny County,42,42003
316,2.40048E+11,Magruder High School,2400480,Montgomery County Public Schools,1/21/2022,1,21,2022,2021-2022,2022,1:00 pm,Friday,Rockville,Maryland,public,0,1,1,targeted,17,m,student,,,Montgomery County,24,24031
323,2.70003E+11,South Education Center,2700025,Intermediate School District 287,02/01/2022,2,1,2022,2021-2022,2022,12:07 pm,Tuesday,Richfield,Minnesota,public,1,1,2,targeted,19,m,student,,,Hennepin County,27,27053
335,3.6201E+11,Mount Vernon High School,3620100,Mount Vernon City School District,02/08/2022,2,8,2022,2021-2022,2022,2:00 pm,Tuesday,Mount Vernon,New York,public,0,0,0,unclear,,,,,,Westchester County,36,36119
324,80615001357,Liberty Point International School,806150,Pueblo County School District 70,2/22/2022,2,22,2022,2021-2022,2022,3:30 pm,Tuesday,Pueblo West,Colorado,public,1,0,1,targeted,,,police officer,service weapon,,Pueblo County,8,8101
336,1.30123E+11,Jonesboro High School,1301230,Clayton County School District,2/28/2022,2,28,2022,2021-2022,2022,,Monday,Clayton County,Georgia,public,0,0,0,unclear,,,student,Loaded handgun,,Clayton County,13,13063
